item                                    mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                               -722283. 1.403369 14.85457 -722282. -722311. -722253. 2231639. 112.0409 NaN     
likelihood                              -721946. 0.056295 5.742336 -721946. -721957. -721935. 24030.36 10404.96 NaN     
prior                                   -336.579 1.380328 13.66248 -335.996 -363.437 -310.419 2552150. 97.97032 NaN     
treeLikelihood.cerris                   -721946. 0.056295 5.742336 -721946. -721957. -721935. 24030.36 10404.96 NaN     
TreeHeight                              56.18347 0.146688 1.793273 56.22115 52.87386 59.32643 1672999. 149.4531 56.15479
mutationRate                            1        0        0        1        1        1        NaN      NaN      1       
proportionInvariant                     0.849766 0.000957 0.008478 0.850394 0.832559 0.863719 3184168. 78.52443 0.849724
gammaShape                              0.759083 0.011235 0.106626 0.752895 0.559487 0.957653 2776181. 90.06436 0.751626
rateAC                                  0.299706 9.19E-5  0.009165 0.299628 0.281749 0.317539 25132.84 9948.536 0.299566
rateAG                                  0.938973 0.000275 0.021896 0.93863  0.897229 0.98268  39572.88 6318.342 0.938718
rateAT                                  0.270244 7.85E-5  0.007295 0.270042 0.256624 0.285083 28915.83 8646.992 0.270146
rateCG                                  0.343538 0.000115 0.011907 0.343324 0.320659 0.36759  23227.89 10764.42 0.343332
rateGT                                  0.307665 9.63E-5  0.009463 0.307482 0.28937  0.326354 25882.42 9660.414 0.307519
ucldMean                                0.119625 0.046349 0.223299 0.013254 0.000116 0.56362  10772223 23.21108 0.005914
ucldStdev                               2.3565   0.393515 1.615891 3.110038 0.411399 4.306131 14828581 16.86169 1.628413
rate.mean                               0.00211  0.000597 0.009137 0.000188 0.000117 0.008071 1067640. 234.1940 0.00039 
rate.variance                           0.020725 0.009365 0.088318 1.78E-5  2.32E-9  0.104455 2811419. 88.93551 6.49E-6 
rate.coefficientOfVariation             4.142842 0.782082 3.614282 3.817687 0.395391 10.66563 11707414 21.35697 2.286196
FBD                                     -318.407 0.789359 12.91075 -318.013 -343.814 -293.355 934644.5 267.5187 NaN     
diversificationRateFBD                  0.030079 0.000284 0.010869 0.029482 0.009594 0.051602 170643.1 1465.250 0.027884
turnoverFBD                             0.605362 0.000638 0.105826 0.59846  0.403689 0.812854 9094.577 27492.75 0.596146
samplingProportionFBD                   0.534986 0.001165 0.049569 0.546185 0.436509 0.599998 138152.9 1809.841 0.53256 
originFBD                               57.90828 0.086425 1.586475 58.24872 54.82234 59.99981 742010.0 336.9698 57.88622
SACountFBD                              37.60871 0.092313 2.782799 38       32       42       275144.4 908.7408 37.50322
mrca.date-backward(alnifolia)           19.65850 0.085952 2.321421 18.49    18.49    24.81260 342774.2 729.4452 19.54216
mrca.date-backward(castaneifolia)       4.857188 0.00535  0.440307 4.79     4.79     4.79     36918.28 6772.660 4.843613
mrca.date-backward(cerris1)             11.26289 0.24773  2.639839 10.92913 6.376707 16.7485  2201929. 113.5526 10.96275
mrca.date-backward(cerris_aegilops)     14.51413 0.339869 2.659718 13.38621 12.7     20.51741 4082738. 61.24197 14.31374
mrca.date-backward(cerris_all)          52.64700 0.097321 1.097404 52.12    52.12    55.27435 1966427. 127.1518 52.63593
mrca.date-backward(cerris_eastAsia)     36.19401 0.344564 2.661589 35       35       42.72447 4190421. 59.66822 36.10704
mrca.date-backward(cerris_wEurasia)     34.56992 0.457949 3.538214 33.50010 31.52    42.27306 4188589. 59.69432 34.40327
mrca.date-backward(floribunda)          33.33050 0.049338 1.084662 33       33       35.57185 517332.2 483.3160 33.31438
mrca.date-backward(ilex_all)            51.21417 0.109327 1.68116  50.47640 49.87    54.65801 1057405. 236.4607 51.18730
mrca.date-backward(ilex_clade)          21.87507 0.143762 2.6749   21.32029 18.88    27.08934 722226.4 346.2003 21.72285
mrca.date-backward(ilex_semecarpifolia) 35.23469 0.043956 1.024194 34.87    34.87    37.41846 460539.8 542.9172 35.22082
mrca.date-backward(ilex_westbound)      33.91238 0.253126 2.997048 33.20871 31       39.61852 1783563. 140.1884 33.78734
mrca.date-backward(not_cyclobalanopsis) 54.58928 0.199069 1.751665 54.29152 52.12004 57.86324 3229292. 77.42717 54.56149
freqParameter.1                         0.309712 1.04E-5  0.000676 0.309714 0.308375 0.311012 59138.45 4227.959 0.309711
freqParameter.2                         0.188206 8.63E-6  0.000574 0.188202 0.187098 0.18934  56635.86 4414.782 0.188205
freqParameter.3                         0.190848 8.85E-6  0.000581 0.19085  0.189738 0.191987 58137.64 4300.741 0.190847
freqParameter.4                         0.311234 1.07E-5  0.000692 0.311241 0.309898 0.312579 60219.72 4152.044 0.311233
